CIDs,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,EC1,EC2,EC3,EC4,EC5,EC6
C00045,9.636574074,-0.851851852,9.636574074,0.178240741,0.414885834,74.059,70.027,74.02420337,29,1,1,0,0,0,0
C00046,12.65921038,-5.006311392,12.65921038,0.493567159,0.094220116,603.276,577.068,603.0281135,215,0,1,0,0,0,1
C00047,10.13722175,-0.933313492,10.13722175,0.52037037,0.457177159,146.19,132.078,146.1055277,60,1,1,0,1,1,1
C00048,9,-1.425925926,9,0.166666667,0.329267503,74.035,72.019,74.00039392,28,1,1,0,1,0,0
C00049,9.846435185,-1.294074074,9.846435185,0.532407407,0.452021255,133.103,126.047,133.0375077,52,1,1,0,1,1,1
C00051,11.50371352,-1.219679189,11.50371352,0.025618544,0.263437293,307.328,290.192,307.0838063,114,1,1,1,1,0,1
C00052,12.15447446,-5.59237418,12.15447446,0.722788616,0.126671054,566.302,542.11,566.0550206,206,1,1,0,0,1,0
C00053,11.59562118,-5.39491983,11.59562118,0.011372135,0.167662423,507.267,492.147,506.9862298,174,1,1,1,0,0,0
C00058,8.361111111,-0.25,8.361111111,0.25,0.380160721,46.025,44.009,46.0054793,18,1,1,1,0,0,1
C00059,8.743055556,-4.666666667,8.743055556,4.666666667,0.39451811,98.079,96.063,97.96737954,32,1,1,1,0,0,0
C00060,9,-0.833333333,9,0.5,0.345261881,44.009,44.009,43.99037782,17,1,0,1,0,0,1
C00061,12.24070619,-4.891593259,12.24070619,0.1419349,0.176020349,456.348,435.18,456.1046149,168,1,1,1,0,0,0
C00062,10.21500031,-1.002013889,10.21500031,0.112132937,0.200275137,174.204,160.092,174.1116757,70,1,1,1,1,1,1
C00064,10.10008409,-1.109953704,10.10008409,0.021296296,0.456091774,146.146,136.066,146.0691422,58,1,1,1,1,1,1
C00065,9.645324074,-1.178240741,9.645324074,0.50462963,0.394240349,105.093,98.037,105.0425931,42,1,1,0,1,1,1
C00067,8,2,8,2,0.360624458,30.026,28.01,30.01056468,12,1,1,0,1,0,0
C00069,7.25,-0.25,7.25,0.25,0.372065607,17.007,15.999,17.00273965,7,1,1,0,0,0,0
C00073,10.07088341,-0.912916667,10.07088341,0.552083333,0.596996208,149.215,138.127,149.0510496,54,1,1,0,1,1,1
C00074,9.894166667,-4.756095679,9.894166667,0.978395062,0.303136509,168.041,163.001,167.9823745,58,0,1,1,0,1,0
C00077,10.03932634,-0.955138889,10.03932634,0.46412037,0.463886112,132.163,120.067,132.0898776,54,1,1,0,1,1,0
C00078,10.62639393,-0.971961924,10.62639393,0.346574074,0.7005841,204.229,192.133,204.0898776,78,1,1,0,1,0,1
C00079,10.37864182,-0.959395314,10.37864182,0.385092593,0.690462799,165.192,154.104,165.0789786,64,1,1,0,1,1,1
C00080,0,0,0,0,0.342642558,1.008,0,1.007276452,0,1,1,0,1,1,1
C00081,11.76558878,-5.715183378,11.76558878,0.005985182,0.191446776,508.166,493.046,507.9797611,174,0,1,1,1,0,1
C00082,10.39619583,-1.020300926,10.39619583,0.159857804,0.627720447,181.191,170.103,181.0738932,70,1,1,0,1,1,1
C00083,12.6299415,-5.58657003,12.6299415,0.018522485,0.037375117,853.587,815.283,853.1156029,304,0,1,0,1,0,1
C00084,8.805555556,0.75,8.805555556,0.75,0.355007613,44.053,40.021,44.02621475,18,1,0,0,1,0,0
C00085,10.36770306,-4.73157435,10.36770306,0.731334877,0.287815798,260.135,247.031,260.0297186,96,0,1,0,1,0,0
C00086,9,-0.833333333,9,0.833333333,0.370507351,60.056,56.024,60.03236275,24,0,0,1,1,0,1
C00089,9.997825728,-2.221747921,9.997825728,0.668632816,0.237891435,342.297,320.121,342.1162115,136,1,1,1,0,1,0
C00091,12.64225043,-5.58561405,12.64225043,0.019699275,0.047678564,867.614,827.294,867.131253,310,1,1,1,0,0,0
C00092,10.36860654,-4.730487804,10.36860654,0.729876543,0.288909135,260.135,247.031,260.0297186,96,1,1,1,1,1,0
C00093,9.931102608,-4.503881173,9.931102608,0.56867284,0.382183951,172.073,163.001,172.0136746,62,1,1,1,0,0,0
C00094,8.666666667,-2.611111111,8.666666667,2.611111111,0.393634431,82.08,80.064,81.97246492,26,1,1,1,1,0,0
C00096,12.28368904,-5.595602014,12.28368904,0.114080792,0.120097452,605.343,580.143,605.077153,220,1,1,1,1,1,0
C00097,9.756435185,-1.00462963,9.756435185,0.189814815,0.424381502,121.161,114.105,121.0197495,42,1,1,0,1,1,1
C00099,9.519305556,-0.835648148,9.519305556,0.069444444,0.475391945,89.094,82.038,89.04767846,36,0,1,0,0,0,1
C00100,12.62684059,-5.559021169,12.62684059,0.022054981,0.057530718,823.605,783.285,823.1414237,294,1,1,0,1,0,1
C00101,12.28551262,-1.301134212,12.28551262,0.028067307,0.251235116,445.436,422.252,445.1709815,170,1,1,0,0,0,1
C00103,10.50269747,-4.914178634,10.50269747,0.702415281,0.288909135,260.135,247.031,260.0297186,96,0,1,1,0,1,0
C00104,11.6634981,-5.303725045,11.6634981,0.044080373,0.273064954,428.187,414.075,428.0134305,150,0,1,1,0,0,0
C00106,10.21472222,-0.474537037,10.21472222,0.380787037,0.454693981,112.088,108.056,112.0272774,42,1,1,0,1,0,0
C00108,10.34175926,-0.98787037,10.34175926,0.155092593,0.566589187,137.138,130.082,137.0476785,52,1,1,0,1,0,1
C00109,9.912037037,-1.344907407,9.912037037,0.078703704,0.500996499,102.089,96.041,102.0316941,40,1,1,0,0,0,0
C00110,10.66394216,-4.327514191,10.66394216,0.113476854,0.188134768,440.605,395.245,440.3055466,174,0,1,1,0,0,0
C00111,10.14013889,-4.564714506,10.14013889,0.763117284,0.450689303,170.057,163.001,169.9980246,60,0,1,1,1,0,0
C00114,8.38625,0.28125,8.38625,0.28125,0.476183932,104.173,90.061,104.1069905,44,1,1,0,1,0,0
C00116,8.166666667,-0.953703704,8.166666667,0.364583333,0.381494432,92.094,84.03,92.04734412,38,1,1,1,1,0,0
C00117,10.2677192,-4.638553634,10.2677192,0.61154321,0.336372885,230.109,219.021,230.0191539,84,0,1,0,1,1,1
C00118,9.896805556,-4.551658951,9.896805556,0.120694444,0.355816569,170.057,163.001,169.9980246,60,1,1,0,1,1,0
C00119,11.25189389,-5.394596503,11.25189389,0.905312697,0.228153726,390.067,376.963,389.951815,132,0,1,0,0,0,1
C00122,9.553611111,-1.257037037,9.553611111,0.55787037,0.48598391,116.072,112.04,116.0109586,44,1,0,1,1,0,1
C00123,10.10976852,-0.913240741,10.10976852,0.3575,0.58394723,131.175,118.071,131.0946287,54,1,1,0,0,1,1
C00124,9.119537037,-1.568935185,9.119537037,0.525787037,0.290152855,180.156,168.06,180.0633881,72,1,1,0,0,1,0
C00125,13.02786593,-0.927028333,13.02786593,0.032948897,0.119860285,908.841,864.489,908.2067413,319,1,1,0,0,0,0
C00127,12.37585642,-1.344301945,12.37585642,0.15503998,0.043741557,612.64,580.384,612.1519625,226,1,1,0,0,0,0
C00128,12.79805077,-5.515938966,12.79805077,0.135213441,0.104024342,614.454,583.206,614.1472675,232,1,1,0,0,0,0
C00129,10.8002244,-5.011690209,10.8002244,0.191358025,0.475817721,246.092,233.996,246.005826,84,0,1,0,0,1,0
C00130,11.59927939,-4.739606836,11.59927939,0.021025229,0.38211344,348.208,335.104,348.0471,126,1,1,1,0,0,1
C00131,11.76392353,-5.638865702,11.76392353,0.000205987,0.251820736,491.183,475.055,491.0008308,168,1,1,0,0,0,0
C00132,7,1,7,1,0.385284405,32.042,28.01,32.02621475,14,1,1,1,0,0,0
C00133,9.574074074,-0.962962963,9.574074074,0.731481482,0.451352188,89.094,82.038,89.04767846,36,1,1,0,0,0,1
C00134,5.159027778,0.775,5.159027778,0.775,0.464598963,88.154,76.058,88.10004838,38,1,1,0,0,0,1
C00135,10.26253496,-1.006481482,10.26253496,0.262731482,0.541194499,155.157,146.085,155.0694765,60,1,1,0,1,1,1
C00136,12.63942846,-5.560622239,12.63942846,0.012667241,0.05630836,837.632,795.296,837.1570738,300,1,1,0,0,0,1
C00137,8.973703704,-1.64037037,8.973703704,1.64037037,0.226957499,180.156,168.06,180.0633881,72,1,1,0,0,0,0
C00140,10.74091167,-1.454212963,10.74091167,0.46171438,0.337238895,221.209,206.089,221.0899372,88,1,1,1,0,1,0
C00141,10.24305556,-1.347222222,10.24305556,0.395833333,0.52756441,116.116,108.052,116.0473441,46,1,1,0,0,0,0
C00143,12.436771,-1.296235228,12.436771,0.039407108,0.313026196,457.447,434.263,457.1709815,174,1,1,0,0,0,0
C00145,3.777777778,0.444444444,3.777777778,0.444444444,0.367117523,33.075,32.067,32.97989603,7,1,1,0,0,0,0
C00148,10.13907407,-0.719907407,10.13907407,0.268518519,0.498208921,115.132,106.06,115.0633285,46,1,0,0,0,1,1
C00149,9.721435185,-1.789351852,9.721435185,0.75462963,0.455339883,134.087,128.039,134.0215233,52,1,1,0,1,0,1
C00151,9.636574074,-0.851851852,9.636574074,0.178240741,0.414885834,74.059,70.027,74.02420337,29,1,1,0,0,1,1
C00152,9.993055556,-1.214074074,9.993055556,0.310185185,0.423939477,132.119,124.055,132.0534921,52,1,1,1,1,0,1
C00153,10.38314815,-0.441574074,10.38314815,0.441574074,0.577262792,122.127,116.079,122.0480128,46,0,1,1,0,0,0
C00154,12.73170406,-5.572363311,12.73170406,0.033769855,0.035806907,1005.956,939.428,1005.344875,372,1,1,1,0,0,0
C00155,9.930262346,-0.959212963,9.930262346,0.429012346,0.466201907,135.188,126.116,135.0353995,48,0,1,0,1,0,0
C00156,10.23059335,-0.986111111,10.23059335,0.074074074,0.610258506,138.122,132.074,138.0316941,52,1,1,0,1,0,1
C00157,11.6008853,-4.479020141,11.6008853,0.012916378,0.407135937,311.227,293.083,311.0770032,116,0,1,1,0,0,0
C00158,10.31555556,-2.738425926,10.31555556,1.144212963,0.427421351,192.123,184.059,192.0270026,74,0,1,0,1,0,1
C00159,9.119537037,-1.568935185,9.119537037,0.525787037,0.290152855,180.156,168.06,180.0633881,72,0,1,0,0,1,0
C00160,9.118055556,-1.189814815,9.118055556,0.777777778,0.423614075,76.051,72.019,76.01604399,30,1,0,1,0,0,0
C00161,9.655092593,-1.268518519,9.655092593,0.574074074,0.411013892,73.027,72.019,72.99256889,27,1,1,0,1,0,0
C00162,9.111111111,-0.583333333,9.111111111,0.388888889,0.422503077,45.017,44.009,44.99765427,17,1,1,1,0,0,0
C00163,9.368055556,-0.74537037,9.368055556,0.222222222,0.490844666,74.079,68.031,74.03677943,30,0,1,0,0,0,1
C00164,9.873333333,-1.0625,9.873333333,0.3125,0.500996499,102.089,96.041,102.0316941,40,1,1,1,1,0,1
C00166,10.71268896,-1.37606198,10.71268896,0.031574074,0.674542148,164.16,156.096,164.0473441,62,1,1,0,1,1,0
C00167,12.1510731,-5.723421043,12.1510731,0.699716053,0.123866172,580.285,558.109,580.0342851,210,1,1,0,1,1,0
C00168,9.662037037,-1.594907407,9.662037037,0.921296296,0.423771644,104.061,100.029,104.0109586,40,0,0,0,1,1,0
C00169,9.613055556,-4.696373457,9.613055556,1.487654321,0.412693892,141.019,136.987,140.9827089,48,0,1,0,0,0,1
C00170,10.14755716,-1.04098167,10.14755716,0.266156436,0.68621227,297.34,282.22,297.0895603,108,0,1,1,0,0,0
C00173,10.47726852,0.291342593,10.47726852,0.291342593,0.501877022,88.131,84.099,87.99828575,28,1,1,0,0,0,0
C00177,6.25,4.75,6.25,4.75,0.344374346,26.018,26.018,26.00362258,10,1,1,0,1,0,0
C00179,6.765248016,0.034279101,6.765248016,0.034279101,0.228286818,130.195,116.083,130.1218464,54,0,1,1,0,0,1
C00180,10.20092593,-0.879074074,10.20092593,0.331018519,0.610603539,122.123,116.075,122.0367794,46,1,1,0,0,0,1
C00181,8.87662037,-1.413194444,8.87662037,0.15337963,0.304250321,150.13,140.05,150.0528234,60,1,0,1,0,1,0
C00183,10.01574074,-0.930555556,10.01574074,0.020833333,0.536976572,117.148,106.06,117.0789786,48,1,1,0,1,0,1
C00185,9.942733135,-1.739073654,9.942733135,0.667366518,0.243258468,342.297,320.121,342.1162115,136,1,1,1,0,1,0
C00186,9.449074074,-1.231481482,9.449074074,1.185185185,0.453935951,90.078,84.03,90.03169405,36,1,0,0,1,1,0
C00187,10.20983135,-0.076591607,10.20983135,0.076591607,0.48831176,386.664,340.296,386.3548661,160,1,1,1,0,1,0
C00188,9.855740741,-1.180555556,9.855740741,0.979166667,0.425095603,119.12,110.048,119.0582431,48,1,1,0,1,1,1
C00189,7.75,0.097222222,7.75,0.097222222,0.405578416,61.084,54.028,61.05276384,26,1,1,0,1,0,0
C00191,10.3736952,-1.806018519,10.3736952,1.516203704,0.298357726,194.139,184.059,194.0426527,76,1,1,0,0,1,0
C00192,6.5,3.5,6.5,3.5,0.348404449,33.03,30.006,33.02146372,14,1,1,0,0,0,0
C00195,11.06008265,-0.787214584,11.06008265,0.006355129,0.293622917,326.501,290.213,326.269519,135,1,1,1,0,0,0
C00196,10.30287037,-1.26537037,10.30287037,0.300925926,0.522491225,154.121,148.073,154.0266087,58,1,1,0,1,0,1
C00197,9.926472978,-4.682615741,9.926472978,0.930941358,0.395190948,186.056,179,185.9929392,66,1,1,1,0,0,0
C00198,10.66490741,-1.733518519,10.66490741,0.58662037,0.318407033,178.14,168.06,178.047738,70,0,1,1,0,0,0
C00199,10.5681302,-4.742887023,10.5681302,0.905570988,0.311659619,230.109,219.021,230.0191539,84,0,1,0,1,1,0
C00201,11.40365898,-5.577939207,11.40365898,0.490832089,0.275910413,373.06,360.964,372.9490753,125,0,1,1,0,0,0
C00203,12.43866522,-5.627087584,12.43866522,0.722977133,0.112913595,607.355,580.139,607.0815697,222,1,1,0,0,0,0
C00204,10.42133409,-1.667416856,10.42133409,0.697361111,0.353193589,178.14,168.06,178.047738,70,1,1,0,1,0,0
C00206,11.4510393,-5.227407369,11.4510393,0.081820082,0.371810233,411.204,396.084,411.0345003,144,1,1,0,0,0,0
C00207,9.444444444,0.166666667,9.444444444,0.166666667,0.398236962,58.08,52.032,58.04186481,24,1,1,0,0,0,1
C00208,9.942733135,-1.739073654,9.942733135,0.667366518,0.243258468,342.297,320.121,342.1162115,136,0,1,1,0,1,0
C00209,9.099537037,-1.824074074,9.099537037,1.824074074,0.379949138,90.034,88.018,89.99530854,34,1,1,0,1,0,1
C00212,9.950183768,-1.189129819,9.950183768,0.218049441,0.490519868,267.245,254.141,267.0967539,102,1,1,1,0,0,0
C00213,9.536805556,-0.821759259,9.536805556,0.041666667,0.469563476,89.094,82.038,89.04767846,36,1,1,0,0,0,0
C00216,8.87662037,-1.413194444,8.87662037,0.15337963,0.304250321,150.13,140.05,150.0528234,60,1,1,0,0,1,0
C00217,9.993880386,-1.165509259,9.993880386,0.023148148,0.485975531,147.13,138.058,147.0531578,58,1,0,0,1,0,1
C00218,4.5,1.5,4.5,1.5,0.384658209,31.058,26.018,31.04219916,14,1,1,0,0,0,1
C00219,10.3138082,-0.712141384,10.3138082,0.261928767,0.305496752,304.474,272.218,304.2402303,124,1,0,0,0,0,1
C00221,9.119537037,-1.568935185,9.119537037,0.525787037,0.290152855,180.156,168.06,180.0633881,72,1,1,0,0,0,0
C00222,9.368055556,-1.078703704,9.368055556,0.349537037,0.370814554,88.062,84.03,88.01604399,34,1,1,0,1,0,0
C00223,12.68797328,-5.583715801,12.68797328,0.024337323,0.038423094,913.686,871.35,913.1519884,326,1,1,0,0,0,0
C00224,11.42312122,-5.255677905,11.42312122,0.078934364,0.247076675,427.288,413.176,427.0198993,150,0,1,1,0,0,0
C00227,9.744930556,-4.571373457,9.744930556,0.915763889,0.485681895,140.031,134.991,139.9874599,48,1,1,1,0,0,0
C00229,3.777777778,0.444444444,3.777777778,0.444444444,0.367117523,33.075,32.067,32.97989603,7,1,1,1,0,0,1
C00230,10.27170446,-1.138611111,10.27170446,0.055277778,0.522491225,154.121,148.073,154.0266087,58,1,0,0,1,0,1
C00231,10.5681302,-4.742887023,10.5681302,0.905570988,0.311659619,230.109,219.021,230.0191539,84,0,1,0,1,0,0
C00232,9.599305556,-0.923981482,9.599305556,0.052083333,0.512039219,102.089,96.041,102.0316941,40,1,0,0,1,0,0
C00234,12.3738417,-1.351394413,12.3738417,0.021568753,0.213131482,473.446,450.262,473.1658961,180,1,1,1,0,0,1
C00235,10.80063256,-5.009954097,10.80063256,0.253858025,0.492503061,246.092,233.996,246.005826,84,1,1,0,1,0,0
C00236,10.57813886,-5.099222608,10.57813886,1.149691358,0.35337235,266.035,257.971,265.9592697,90,0,1,1,0,1,0
C00239,11.61196333,-4.640983832,11.61196333,0.061276162,0.489914223,307.199,293.087,307.0569364,112,0,1,1,0,0,0
C00243,9.942733135,-1.739073654,9.942733135,0.667366518,0.243258468,342.297,320.121,342.1162115,136,1,1,1,0,0,0
C00245,9.706805556,-3.799189815,9.706805556,0.028935185,0.45569909,125.149,118.093,125.0146641,44,1,1,0,0,0,0
C00246,9.599305556,-0.710648148,9.599305556,0.291666667,0.543440747,88.106,80.042,88.0524295,36,1,1,0,0,0,1
C00247,9.24337963,-2.168009259,9.24337963,0.32412037,0.290178193,180.156,168.06,180.0633881,72,1,1,0,0,0,0
C00249,10.30065142,-0.654562036,10.30065142,0.345,0.413489783,256.43,224.174,256.2402303,108,1,0,1,0,0,1
C00250,10.46037037,-0.296712963,10.46037037,0.115740741,0.625300994,167.164,158.092,167.0582431,64,1,1,0,0,0,0
C00251,10.63076405,-1.368492536,10.63076405,0.075473356,0.45689443,226.184,216.104,226.047738,86,0,1,1,1,1,0
C00254,11.01178855,-1.672641723,11.01178855,0.669259259,0.443382854,226.184,216.104,226.047738,86,1,0,0,1,0,0
C00256,9.449074074,-1.231481482,9.449074074,1.185185185,0.453935951,90.078,84.03,90.03169405,36,1,0,0,1,0,1
C00257,10.09087065,-2.197962963,10.09087065,0.842692744,0.268053512,196.155,184.059,196.0583027,78,1,1,0,1,0,0
C00258,9.520324074,-1.625,9.520324074,0.726851852,0.396889766,106.077,100.029,106.0266087,42,1,1,0,0,0,0
C00263,9.853101852,-1.070324074,9.853101852,0.12037037,0.434538525,119.12,110.048,119.0582431,48,1,1,0,0,0,0
C00267,9.119537037,-1.568935185,9.119537037,0.525787037,0.290152855,180.156,168.06,180.0633881,72,0,1,0,0,1,0
C00269,12.13865488,-5.318121493,12.13865488,0.10178848,0.190720863,531.26,512.108,531.0291402,190,0,1,1,0,0,0
C00270,11.11018763,-2.782531652,11.11018763,0.598052721,0.267503567,309.271,290.119,309.1059812,122,1,1,1,1,0,0
C00275,10.36860654,-4.730487804,10.36860654,0.729876543,0.288909135,260.135,247.031,260.0297186,96,0,1,0,0,1,0
C00279,10.03777305,-4.656810752,10.03777305,0.035419186,0.298983882,200.083,191.011,200.0085893,72,1,1,0,0,0,0
C00283,0,0,0,0,0.356419788,34.083,32.067,33.98772106,8,1,1,0,1,0,0
C00286,11.83340354,-5.670245825,11.83340354,0.048135188,0.204246997,507.182,491.054,506.9957455,174,1,1,1,0,0,0
C00288,8.444444444,-2.083333333,8.444444444,2.083333333,0.385917858,61.016,60.008,60.99311747,24,0,1,0,1,0,1
C00292,5.357777778,0.821759259,5.357777778,0.821759259,0.480075463,93.129,86.073,93.05784922,36,1,1,0,0,0,1
C00294,11.50919674,-1.240150227,11.50919674,0.111331727,0.482294668,268.229,256.133,268.0807695,102,1,1,1,0,0,0
C00296,10.52003779,-2.140810185,10.52003779,0.471666667,0.318030983,192.167,180.071,192.0633881,76,1,1,0,0,0,0
C00299,11.44642621,-1.351155518,11.44642621,0.479334766,0.443510591,244.203,232.107,244.0695361,94,0,1,1,0,0,0
C00300,9.920277778,-0.99287037,9.920277778,0.226851852,0.327362746,131.135,122.063,131.0694765,52,0,1,1,0,0,0
C00307,11.9537776,-5.177301426,11.9537776,0.071071069,0.202781883,488.327,462.119,488.1073309,178,0,1,1,0,0,0
C00310,9.056712963,-1.972800926,9.056712963,0.154537037,0.329385451,150.13,140.05,150.0528234,60,0,1,0,0,1,0
C00311,10.29421296,-2.20037037,10.29421296,0.927777778,0.420979292,192.123,184.059,192.0270026,74,1,1,0,1,0,0
C00312,9.056712963,-1.972800926,9.056712963,0.154537037,0.329385451,150.13,140.05,150.0528234,60,0,1,0,0,1,0
C00313,12.61637891,-5.587775031,12.61637891,0.015333077,0.040557215,839.56,803.272,839.0999528,298,0,1,0,1,0,0
C00315,5.32164155,0.781635803,5.32164155,0.781635803,0.429543725,145.25,126.098,145.1578976,62,1,1,0,0,0,1
C00318,10.01751134,-1.202824074,10.01751134,0.282222222,0.494486133,161.201,146.081,161.1051933,66,1,1,0,0,0,1
C00320,9.002314815,-4.083333333,9.002314815,3.354166667,0.257145614,113.139,112.131,112.9372595,32,1,1,0,0,0,0
C00322,10.33184335,-1.504269652,10.33184335,0.083796296,0.547439268,160.125,152.061,160.0371734,62,1,1,0,0,0,0
C00325,12.2675162,-5.503481833,12.2675162,0.099375931,0.134261173,589.344,564.144,589.0822384,214,1,1,0,0,0,0
C00327,10.19030896,-1.033263889,10.19030896,0.328981482,0.394159185,175.188,162.084,175.0956913,70,0,0,1,0,0,1
C00328,11.55703704,-1.196432823,11.55703704,0.246481482,0.485504664,208.217,196.121,208.0847922,80,1,1,1,0,0,0
C00329,9.199537037,-1.346712963,9.199537037,0.470231482,0.288439898,179.172,166.068,179.0793725,72,1,1,1,0,0,0
C00331,11.04044737,-1.38862859,11.04044737,0.070092593,0.739797688,203.197,194.125,203.0582431,76,1,1,0,1,0,0
C00332,12.63901179,-5.57657003,12.63901179,0.024009454,0.039781287,851.615,811.295,851.1363383,304,0,1,1,0,0,1
C00333,10.3736952,-1.806018519,10.3736952,1.516203704,0.298357726,194.139,184.059,194.0426527,76,1,1,0,0,1,0
C00334,9.702638889,-0.772731482,9.702638889,0.190972222,0.520009216,103.121,94.049,103.0633285,42,0,1,1,0,0,1
C00337,10.55305556,-1.200740741,10.55305556,0.207268519,0.440161695,158.113,152.065,158.0327567,60,1,0,1,0,0,0
C00339,7.680555556,0.319444444,7.680555556,0.319444444,0.380377617,31.034,28.01,31.01838972,13,1,1,0,0,0,0
C00341,11.0944805,-5.046365557,11.0944805,0.255523274,0.466008789,314.211,294.051,314.0684262,112,0,1,1,1,1,0
C00342,12.18494351,-0.530869503,12.18494351,0.076013153,0.237527692,318.38,304.268,318.0456469,110,1,1,0,0,0,0
C00344,11.46072657,-4.471134338,11.46072657,0.250497685,0.438040452,300.156,287.052,300.0246332,110,0,1,1,0,0,0
C00345,10.24373446,-4.863876667,10.24373446,1.04678225,0.231227276,276.134,263.03,276.0246332,102,1,0,0,1,0,0
C00346,9.806805556,-4.262229938,9.806805556,0.106867284,0.440588209,141.063,132.999,141.0190944,50,0,1,1,1,0,0
C00350,11.33642952,-4.229483103,11.33642952,0.068593964,0.546019947,269.146,257.05,269.030053,98,0,1,1,0,0,0
C00352,10.3932979,-4.699237804,10.3932979,0.674320988,0.287306051,259.151,245.039,259.045703,96,0,1,1,0,1,0
C00353,11.32321767,-5.078749261,11.32321767,0.264758418,0.208430191,450.449,414.161,450.1936268,168,1,1,1,1,1,0
C00354,10.49082606,-4.957220372,10.49082606,0.874280597,0.241886447,340.114,326.002,339.9960491,120,0,1,1,1,0,0
C00355,10.41862355,-1.099477041,10.41862355,0.114259259,0.512506925,197.19,186.102,197.0688078,76,1,1,0,1,0,0
C00356,12.66770233,-5.600135335,12.66770233,0.014731937,0.043619926,911.667,867.315,911.1574677,328,0,1,1,1,0,0
C00357,10.85024924,-4.760320194,10.85024924,0.552020879,0.297287301,301.188,285.06,301.0562677,112,0,0,1,1,1,0
C00360,10.70610875,-4.617566238,10.70610875,0.198961325,0.518964727,331.225,317.113,331.0681698,120,0,1,1,0,0,0
C00361,11.78530507,-5.258787491,11.78530507,0.002876669,0.290762028,427.203,412.083,427.0294149,150,1,1,0,0,0,0
C00362,11.72108636,-4.661294429,11.72108636,0.062228932,0.405643401,347.224,333.112,347.0630844,126,0,1,1,0,0,0
C00365,11.54751889,-4.659604381,11.54751889,0.028904636,0.480106929,308.183,295.079,308.040952,112,0,1,1,0,0,0
C00369,10.24335042,-1.429820011,10.24335042,0.274624294,0.294770903,324.282,304.122,324.1056468,128,0,1,1,0,0,0
C00372,9.969745475,-1.47621058,9.969745475,0.102560301,0.291728756,324.282,304.122,324.1056468,128,0,1,1,0,0,0
C00379,8.766203704,-1.490740741,8.766203704,0.640648148,0.296389514,152.146,140.05,152.0684735,62,1,1,0,0,0,0
C00381,8.93541118,0.31756636,8.93541118,0.31756636,0.311709491,360.626,316.274,360.339216,150,1,1,0,0,0,0
C00383,9.428888889,-1.3125,9.428888889,0.805555556,0.464877094,104.061,100.029,104.0109586,40,0,1,0,1,0,1
C00385,10.91384259,-0.546666667,10.91384259,0.27662037,0.448668124,152.113,148.081,152.0334254,56,1,0,1,0,0,0
C00386,11.20373134,-1.0894709,11.20373134,0.115422099,0.488769317,226.236,212.124,226.1065903,88,0,1,1,0,0,0
